ID,Código,Nome,GTIN,SKU,Marca,Descrição
292,"CET5.15_LAB","LABOR CB DE POT²NCIA 5x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202925","SKU-CET5.15_LAB","Labor Energy","LABOR CB DE POT²NCIA 5x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
130,"CET5.25_ALU","ALUFORCE CB DE POT²NCIA 5x2,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201300","SKU-CET5.25_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 5x2,5mm² 0,6/1KV NBR 7286 AL/HEPR"
293,"CET5.25_LAB","LABOR CB DE POT²NCIA 5x2,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202932","SKU-CET5.25_LAB","Labor Energy","LABOR CB DE POT²NCIA 5x2,5mm² 0,6/1KV NBR 7286 AL/HEPR"
131,"CET5.40_ALU","ALUFORCE CB DE POT²NCIA 5x4,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201317","SKU-CET5.40_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 5x4,0mm² 0,6/1KV NBR 7286 AL/HEPR"
294,"CET5.40_LAB","LABOR CB DE POT²NCIA 5x4,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202949","SKU-CET5.40_LAB","Labor Energy","LABOR CB DE POT²NCIA 5x4,0mm² 0,6/1KV NBR 7286 AL/HEPR"
132,"CET5.60_ALU","ALUFORCE CB DE POT²NCIA 5x6,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201324","SKU-CET5.60_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 5x6,0mm² 0,6/1KV NBR 7286 AL/HEPR"
295,"CET5.60_LAB","LABOR CB DE POT²NCIA 5x6,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202956","SKU-CET5.60_LAB","Labor Energy","LABOR CB DE POT²NCIA 5x6,0mm² 0,6/1KV NBR 7286 AL/HEPR"
133,"CET7.15_ALU","ALUFORCE CB DE POT²NCIA 7x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201331","SKU-CET7.15_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 7x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
296,"CET7.15_LAB","LABOR CB DE POT²NCIA 7x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202963","SKU-CET7.15_LAB","Labor Energy","LABOR CB DE POT²NCIA 7x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
156,"CET8.15RP_ALU","ALUFORCE CB DE POT²NCIA 8x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201560","SKU-CET8.15RP_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 8x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
